Score,Player’s Name,Balls Bowled,Runs Scored,Economy,Wickets,Ct_St,Matches Played
75,Adam Milne,84,134,9.6,3,0,4
86,Amit Mishra,233,343,8.8,10,0.5,14
89,Andrew Tye,126,141,6.7,12,0,6
78,Ankit Rajpoot,84,107,7.6,4,0,5
0,Anrich Nortje,0,0,0,0,0,0
0,Arshdeep Singh,0,0,0,0,0,0
67,Avesh Khan,24,23,5.8,1,0,1
0,B Ayyappa,0,0,0,0,0,0
64,Barinder Sran,12,29,14.5,0,0,1
87,Basil Thampi,268,424,9.5,11,1,12
100,Bhuvneshwar Kumar,314,369,7.1,26,1.5,14
70,Billy Stanlake,48,70,8.8,2,0,2
69,Deepak Chahar,42,74,10.6,1,0,3
74,Dhawal Kulkarni,113,173,9.2,3,0,6
84,Harbhajan Singh,246,266,6.5,8,0,11
0,Hardus Vilojen,0,0,0,0,0,0
0,Harry Gurney,0,0,0,0,0,0
97,Imran Tahir,282,369,7.9,18,0,12
0,Ish Sodhi,0,0,0,0,0,0
65,Ishant Sharma,108,179,9.9,0,0,6
0,Jason Behrendorff,0,0,0,0,0,0
98,Jasprit Bumrah,356,440,7.4,20,3,16
66,Jayant Yadav,36,42,7,0,0,2
99,Jaydev Unadkat,275,322,7,24,1.5,12
81,Kagiso Rabada,128,188,8.8,6,2,6
0,Kamlesh Nagarkoti,0,0,0,0,0,0
92,Karn Sharma,184,214,7,13,0,9
0,Khaleel Ahmed,0,0,0,0,0,0
0,KM Asif,0,0,0,0,0,0
90,Kuldeep Yadav,246,340,8.3,12,2,12
0,Kulwant Khejroliya,0,0,0,0,0,0
88,Lasith Malinga,269,382,8.5,11,0,12
76,Lockie Ferguson,78,93,7.2,3,0.5,4
0,Lungi Ngidi,0,0,0,0,0,0
0,M Ashwin,0,0,0,0,0,0
0,M Lomror,0,0,0,0,0,0
0,M Markande,0,0,0,0,0,0
0,M McClenaghan,0,0,0,0,0,0
0,Mitchell Santner,0,0,0,0,0,0
79,Mohammed Shami,156,243,9.3,5,1.5,8
85,Mohammed Siraj,138,212,9.2,10,0,6
91,Mohit Sharma,274,410,9,13,0,14
0,Monu Kumar,0,0,0,0,0,0
0,Mujeeb,0,0,0,0,0,0
0,N Coulter-Nile,0,0,0,0,0,0
68,Nathu Singh,24,15,3.8,1,0,2
0,Navdeep Saini,0,0,0,0,0,0
0,Oshane Thomas,0,0,0,0,0,0
82,Piyush Chawla,120,179,9,6,0,6
0,Prasidh Krishna,0,0,0,0,0,0
0,Prithvi Raj Yarra,0,0,0,0,0,0
0,R Ashwin,0,0,0,0,0,0
72,Rahul Chahar,42,58,8.3,2,0,3
77,Rahul Tewatia,54,49,5.4,3,0,3
96,Rashid Khan,324,358,6.6,17,2,14
0,Rasikh Dar,0,0,0,0,0,0
0,S Lamichhane,0,0,0,0,0,0
0,S Nadeem,0,0,0,0,0,0
0,S. Midhun,0,0,0,0,0,0
94,Sandeep Sharma,288,398,8.3,17,0,13
0,Shardul Thakur,0,0,0,0,0,0
0,Shivam Mavi,0,0,0,0,0,0
93,Siddarth Kaul,214,300,8.4,16,0,10
71,T Natarajan,76,115,9.1,2,0,6
73,Tim Southee,60,96,9.6,3,0,3
80,Trent Boult,143,216,9.1,5,0,6
95,Umesh Yadav,291,410,8.5,17,0,14
83,Varun Aaron,120,163,8.2,7,0,6
93,Y Chahal,261,333,7.7,14,3,13
