Sl. No,Player,Team,From,Runs,Balls,Strike Rate,Wickets,Balls Bowled,Runs Conceded,Economy,Ct_St,Run Outs,Matches Played,Age
125,Makhaya Ntini ,CSK,SA,0,0,#DIV/0!,0,0,0,#DIV/0!,0,0,0,31
126,Manish Pandey ,RCB,IND,168,118,142.3728814,0,0,0,#DIV/0!,3,0,5,19
127,Manoj Tiwary ,DD,IND,9,13,69.23076923,0,6,11,11,0,1,2,23
128,Manvinder Bisla ,DC,IND,0,0,#DIV/0!,0,0,0,#DIV/0!,0,0,0,24
129,Mark Boucher ,RCB,SA,150,116,129.3103448,0,0,0,#DIV/0!,7,1.5,12,32
130,Mark Cameron ,KKR,AUS,0,0,#DIV/0!,0,0,0,#DIV/0!,0,0,0,28
131,Mashrafe Mortaza ,KKR,BAN,2,2,100,0,24,58,14.5,0,1,1,25
132,Michael Hussey ,CSK,AUS,0,0,#DIV/0!,0,0,0,#DIV/0!,0,0,0,33
133,Mithun Manhas ,DD,IND,75,62,120.9677419,0,0,0,#DIV/0!,2,0,10,29
134,MN van Wyk,KKR,,167,132,126.5151515,0,0,0,#DIV/0!,6,0,5,
135,Moh Ashraful ,MI,BAN,2,10,20,0,0,0,#DIV/0!,2,0,1,24
136,Moh Sanuth ,KKR,IND,0,0,#DIV/0!,0,0,0,#DIV/0!,0,0,0,19
137,Mohammad Kaif ,RR,IND,0,0,#DIV/0!,0,0,0,#DIV/0!,0,0,0,28
138,Mohammed Arif ,RR,IND,0,0,#DIV/0!,0,0,0,#DIV/0!,0,0,0,18
139,Mohnish Parmar ,KKR,IND,0,0,#DIV/0!,0,0,0,#DIV/0!,0,0,0,21
140,Moises Henriques ,KKR,AUS,38,40,95,2,73,109,8.95890411,2,0,4,22
141,Morne Morkel ,RR,IND,8,8,100,0,42,40,5.714285714,1,1,2,24
142,MS Dhoni ,CSK,IND,332,261,127.2030651,0,0,0,#DIV/0!,8,2,14,27
143,Munaf Patel ,RR,IND,33,26,126.9230769,16,209,241,6.918660287,4,0.5,11,25
144,Murali Kartik ,KKR,IND,21,20,105,4,204,201,5.911764706,1,0,10,32
