Sl no,Player Name,Team,From,Runs,Balls,Four,Six,Highest Run Scored,Strike Rate,Balls Bowled,Runs Conceded,Economy,Wickets,ct_st,Run Outs,Matches Played,Age
58,Dwaraka Ravi Teja,DC,IND,0,0,0,0,0,#DIV/0!,0,0,#DIV/0!,0,0,0,0,22
59,Dwayne Bravo,MI,WI,64,53,4,4,23,120.754717,157,228,8.713375796,4,4,1,10,26
60,Dwayne Smith,DC,WI,22,25,1,1,13,88,23,36,9.391304348,1,0,0,3,27
61,Eoin Morgan,RCB,ENG,35,30,2,1,17,116.6666667,0,0,#DIV/0!,0,4,1,6,23
62,Faiz Fazal,RR,IND,164,154,19,1,45,106.4935065,12,20,10,0,8,0.3,10,24
63,Farveez Maharoof,DD,SL,31,23,2,2,28,134.7826087,144,206,8.583333333,8,1,0,7,25
64,Ganapathi Vignesh,KKR,IND,0,0,0,0,0,#DIV/0!,0,0,#DIV/0!,0,0,0,0,28
65,Gautam Gambhir ,DD,IND,277,217,32,2,72,127.6497696,0,0,#DIV/0!,0,3,0.5,11,28
66,George Bailey,CSK,AUS,18,27,2,0,18,66.66666667,0,0,#DIV/0!,0,1,0,1,27
67,Graeme Smith,RR,SA,44,39,7,0,26,112.8205128,0,0,#DIV/0!,0,2,0,2,29
68,Graham Napier,MI,AUS,0,0,0,0,0,#DIV/0!,0,0,#DIV/0!,0,0,0,0,30
69,Harbhajan Singh,MI,IND,105,63,12,5,49,166.6666667,321,377,7.046728972,17,6,0.5,15,29
70,Harmeet Singh,DC,IND,0,1,0,0,0,0,144,174,7.25,8,0,0.5,8,22
71,Harpreet Singh,KKR,IND,0,0,0,0,0,#DIV/0!,0,0,#DIV/0!,0,0,0,1,
72,Harshad Khadiwale,KKR,IND,0,0,0,0,0,#DIV/0!,0,0,#DIV/0!,0,0,0,0,21
73,Herschelle Gibbs,DC,SA,267,235,26,9,50,113.6170213,0,0,#DIV/0!,0,6,0,10,36
74,Iqbal Abdulla,KKR,IND,0,1,0,0,0,0,51,61,7.176470588,1,0,1,3,20
75,Irfan Pathan,KXI,IND,276,186,21,10,60,148.3870968,278,426,9.194244604,15,4,0.5,14,25
76,Ishan Malhotra,MI,IND,0,0,0,0,0,#DIV/0!,0,0,#DIV/0!,0,0,0,0,26
77,Ishant Sharma,KKR,IND,6,17,0,0,6,35.29411765,150,236,9.44,7,1,0,7,21
78,J Theron,KXI,SA,2,5,0,0,2,40,144,187,7.791666667,6,1,1.5,7,24
79,Jacob Oram,CSK,NZ,0,0,0,0,0,#DIV/0!,0,0,#DIV/0!,0,0,0,0,31
80,Jacques Kallis,RCB,SA,572,494,67,9,89,115.7894737,342,476,8.350877193,13,7,1,16,34
81,James Hopes,KXI,AUS,0,0,0,0,0,#DIV/0!,0,0,#DIV/0!,0,0,0,0,31
82,Jaskaran Singh,DC,IND,8,11,0,0,4,72.72727273,84,139,9.928571429,6,0,0,6,20
83,JD Unadkat,KKR,IND,0,0,0,0,0,#DIV/0!,62,85,8.225806452,4,1,0.5,3,
84,Jean-Paul Duminy,MI,SA,157,131,13,5,42,119.8473282,33,37,6.727272727,1,4,0,7,26
85,Jogindar Sharma,CSK,IND,0,0,0,0,0,#DIV/0!,48,89,11.125,2,1,0,3,26
86,Johan Botha,RR,SA,0,0,0,0,0,#DIV/0!,0,0,#DIV/0!,0,0,0,0,28
87,Justin Kemp,CSK,SA,26,24,1,1,22,108.3333333,44,54,7.363636364,3,1,0,5,32
88,Kamran Khan,RR,IND,0,0,0,0,0,#DIV/0!,36,53,8.833333333,3,0,0.5,3,19
89,Karan Goel,KXI,IND,18,20,1,1,17,90,6,7,7,0,2,0.5,6,23
90,Kedar Jadhav,DD,IND,76,56,7,2,50,135.7142857,0,0,#DIV/0!,0,0,0.5,5,25
91,Kemar Roach,DC,WI,10,9,1,0,10,111.1111111,48,80,10,0,1,0,2,21
92,Kevin Pietersen,RCB,ENG,236,157,23,8,66,150.3184713,60,77,7.7,3,3,0,7,29
93,Kieron Pollard,MI,WI,273,147,23,17,45,185.7142857,222,274,7.405405405,15,6,3.5,14,23
94,KP Appanna,RCB,IND,2,3,0,0,1,66.66666667,42,51,7.285714286,1,1,1,2,21
95,Kumar Sangakkara,KXI,SL,357,257,47,5,56,138.9105058,0,0,#DIV/0!,0,11,3,13,32
96,Lakshmipathy Balaji,CSK,IND,18,20,1,1,15,90,140,210,9,7,1,0,7,28
97,Lasith Malinga,MI,SL,1,1,0,0,1,100,294,344,7.020408163,15,2,1.5,13,26
98,Laxmi Shukla,KKR,IND,36,26,3,2,19,138.4615385,72,106,8.833333333,3,2,0,4,29
99,Love Ablish,KXI,IND,0,0,0,0,0,#DIV/0!,24,36,9,3,0,0,2,27
100,Mahela Jayawardene,KXI,SL,439,298,55,11,110,147.3154362,0,0,#DIV/0!,0,5,1.5,13,32
101,Makhaya Ntini,CSK,SA,0,0,0,0,0,#DIV/0!,0,0,#DIV/0!,0,0,0,0,32
102,Mandeep Singh,KKR,IND,4,11,0,0,4,36.36363636,0,0,#DIV/0!,0,0,0,3,
