Sl No,Player Name,Team,From,Runs,Balls ,Strike Rate,Four,Six,Highest Runs Scored,Balls Bowled,Runs Conceded,Wicket,Economy,ct_st,Run Outs,Matches Played,Age
155,Sarabjit Ladda,DD,IND,0,9,0,1,1,0,90,143,4,9.533333333,0,0.5,5,23
156,Sarandeep Singh,DD,IND,0,0,#DIV/0!,0,0,0,0,0,0,#DIV/0!,0,0,0,30
157,Saurabh Tiwary,MI,IND,419,309,135.5987055,29,18,61,0,0,0,#DIV/0!,3,0.5,16,20
158,SE Bond,KKR,NZ,1,2,50,0,0,1,186,224,9,7.225806452,1,0,8,35
159,Shadab Jakati,CSK,IND,0,0,#DIV/0!,0,0,0,228,291,13,7.657894737,1,1,11,29
160,Shalabh Srivastava,KXI,IND,1,2,50,0,0,1,162,255,6,9.444444444,1,0,8,28
161,Shane Warne ,RR,AUS,11,20,55,0,0,4,300,381,11,7.62,2,0.5,14,40
162,Shaun Marsh,KXI,AUS,147,114,128.9473684,14,6,88,0,0,0,#DIV/0!,1,0,4,26
163,Shaun Tait,RR,AUS,12,13,92.30769231,0,1,11,187,264,10,8.470588235,2,0,8,27
164,Shikhar Dhawan,MI,IND,191,170,112.3529412,23,3,56,0,0,0,#DIV/0!,5,0,10,24
165,Shreevats Goswami ,RCB,IND,8,10,80,2,0,8,0,0,0,#DIV/0!,0,0,1,21
166,Shrikant Wagh,RR,IND,0,0,#DIV/0!,0,0,0,6,16,1,16,0,0,1,21
167,Siddharth Trivedi,RR,IND,20,14,142.8571429,3,1,9,209,260,11,7.464114833,1,1,11,27
168,Sourav Ganguly ,KKR,IND,493,419,117.6610979,58,15,88,24,43,0,10.75,7,1,14,37
169,Sreesanth,KXI,IND,27,21,128.5714286,5,0,15,114,191,3,10.05263158,0,0,6,27
170,Sridharan Sriram,RCB,IND,27,29,93.10344828,3,0,27,12,24,0,12,0,0,1,34
171,Steven Smith,RCB,WI,0,0,#DIV/0!,0,0,0,0,0,0,#DIV/0!,0,0,0,21
172,Subramaniam Badrinath,CSK,IND,356,304,117.1052632,41,6,55,0,0,0,#DIV/0!,1,1.5,16,29
173,Sudeep Tyagi,CSK,IND,3,4,75,0,0,3,95,159,1,10.04210526,2,0,6,22
174,Sumit Narwal,RR,IND,14,12,116.6666667,2,0,12,94,185,5,11.80851064,1,1,5,28
175,Suresh Raina,CSK,IND,524,365,143.5616438,46,22,83,143,178,6,7.468531469,10,2,16,23
176,Swapnil Asnodkar,RR,AIND,5,4,125,1,0,5,0,0,0,#DIV/0!,0,0,2,26
177,Syed Quadri,RR,IND,0,0,#DIV/0!,0,0,0,0,0,0,#DIV/0!,0,0,0,28
178,Syed Sahabuddin,MI,IND,0,0,#DIV/0!,0,0,0,0,0,0,#DIV/0!,0,0,0,29
179,Tanmay Srivastava,KXI,IND,0,0,#DIV/0!,0,0,0,0,0,0,#DIV/0!,0,0,0,20
180,Thilan Thushara,CSK,SL,10,11,90.90909091,0,0,8,87,101,5,6.965517241,2,0.5,4,29
181,Thissara Perera,CSK,SL,0,0,#DIV/0!,0,0,0,6,19,0,19,0,0,1,21
182,Tillakaratne Dilshan,DD,SL,44,53,83.01886792,6,0,17,49,70,3,8.571428571,4,0,6,33
183,Tirumalasetti Suman,DC,IND,307,257,119.4552529,23,13,78,12,24,0,12,3,1,14,26
184,Umesh Yadav,DD,IND,3,4,75,0,0,3,144,184,6,7.666666667,1,0,7,22
185,Varun Aaron,KKR,IND,0,0,#DIV/0!,0,0,0,0,0,0,#DIV/0!,0,0,0,20
186,Venugopal Rao,DC,IND,34,43,79.06976744,3,1,24,6,10,0,10,0,0,6,28
187,Vikramjeet Malik,KXI,IND,6,5,120,1,0,6,43,62,1,8.651162791,0,0,3,27
188,Vinay Kumar,RCB,IND,27,32,84.375,1,0,10,277,396,16,8.577617329,3,0.5,14,26
189,Virat Kohli,RCB,IND,307,212,144.8113208,26,12,58,32,50,0,9.375,3,2,16,21
190,Virender Sehwag,DD,IND,356,218,163.3027523,47,14,75,34,23,3,4.058823529,2,0,14,31
191,VRV Sing,KXI,,0,0,#DIV/0!,0,0,0,18,40,0,13.33333333,0,0,1,
192,VVS Laxman,DC,IND,64,60,106.6666667,7,1,22,0,0,0,#DIV/0!,2,0,6,35
193,VY Mahesh,DD,IND,0,0,#DIV/0!,0,0,0,18,23,1,7.666666667,0,0,1,22
194,Wayne Parnell,DD,SA,0,0,#DIV/0!,0,0,0,0,0,0,#DIV/0!,0,0,0,20
